env_step,mean_return,sd_return
0.0,-116.61875000000002,13.545914938587154
1503.7593984962407,-100.38100172324405,2.742797220119858
3007.5187969924814,-98.18630468506588,1.4134969147136776
4511.278195488722,-97.47084196757865,0.8640941074111241
6015.037593984963,-97.36919096448727,0.9067990235857087
7518.796992481203,-97.42281810168694,0.8528100387377123
9022.556390977445,-97.40139542635745,0.9047434872998781
10526.315789473685,-97.28805872747613,0.9257198964045644
12030.075187969926,-97.33156797039973,0.8577803069938326
13533.834586466166,-97.41905251279493,0.8137656909924275
15037.593984962406,-97.51959158028292,0.8660477676679519
16541.35338345865,-97.94188485413171,0.5189582379624323
18045.11278195489,-98.36574711313965,0.471171779459652
19548.87218045113,-98.34548756396529,0.7308929917829241
21052.63157894737,-98.38183360221578,1.1810347141054538
22556.39097744361,-98.45415198154865,1.2146938948529091
24060.15037593985,-98.34679593461027,0.9767590239746199
25563.90977443609,-98.21345524305428,1.1639735498117123
27067.669172932332,-98.12396406735976,1.2653714189704692
28571.428571428572,-97.93321199292794,1.4272065973949064
30075.187969924813,-98.21663093014753,1.025647027013225
31578.947368421053,-99.15170444622679,0.701798599716292
33082.7067669173,-99.56882337237315,0.528782315408988
34586.466165413534,-99.39771093157967,0.7863449771801582
36090.22556390978,-99.24816850844903,0.9855683070250588
37593.984962406015,-99.18285068238032,0.8014130682627641
39097.74436090226,-99.64977305016892,0.695395571886651
40601.503759398496,-100.16897311259893,0.657121135176036
42105.26315789474,-100.49767011334116,0.7732972214401854
43609.02255639098,-100.30183236986372,1.2564657640513581
45112.78195488722,-100.09187605801012,1.1580338971115616
46616.54135338346,-100.31105545313022,0.9756026150221104
48120.3007518797,-100.21813168986422,1.0657313103623642
49624.060150375946,-100.42895496909543,1.3444073356584298
51127.81954887218,-100.73522276576463,1.2130033638125268
52631.57894736843,-101.29366459537218,1.4647122698031343
54135.338345864664,-101.20688540714409,1.7295616547886634
55639.09774436091,-101.36379466156248,1.6786081589742232
57142.857142857145,-101.88612309641876,1.0469599613745317
58646.61654135339,-101.87450560273889,1.7482642721775021
60150.375939849626,-101.68806660191242,1.8198266395850284
